fecha,turno,loteria,posicion,numero,sorteo_nro
2025-07-21,Nocturna,Provincia,1,5472,12512
2025-07-21,Nocturna,Provincia,2,9798,12512
2025-07-21,Nocturna,Provincia,3,9365,12512
2025-07-21,Nocturna,Provincia,4,5894,12512
2025-07-21,Nocturna,Provincia,5,4753,12512
2025-07-21,Nocturna,Provincia,6,1776,12512
2025-07-21,Nocturna,Provincia,7,9820,12512
2025-07-21,Nocturna,Provincia,8,2190,12512
2025-07-21,Nocturna,Provincia,9,4273,12512
2025-07-21,Nocturna,Provincia,10,5935,12512
2025-07-21,Nocturna,Provincia,11,7912,12512
2025-07-21,Nocturna,Provincia,12,2217,12512
2025-07-21,Nocturna,Provincia,13,4554,12512
2025-07-21,Nocturna,Provincia,14,4680,12512
2025-07-21,Nocturna,Provincia,15,6019,12512
2025-07-21,Nocturna,Provincia,16,8561,12512
2025-07-21,Nocturna,Provincia,17,5262,12512
2025-07-21,Nocturna,Provincia,18,8261,12512
2025-07-21,Nocturna,Provincia,19,8224,12512
2025-07-21,Nocturna,Provincia,20,7744,12512
2025-07-22,Nocturna,Provincia,1,7137,12513
2025-07-22,Nocturna,Provincia,2,5555,12513
2025-07-22,Nocturna,Provincia,3,3202,12513
2025-07-22,Nocturna,Provincia,4,3987,12513
2025-07-22,Nocturna,Provincia,5,7698,12513
2025-07-22,Nocturna,Provincia,6,6802,12513
2025-07-22,Nocturna,Provincia,7,7973,12513
2025-07-22,Nocturna,Provincia,8,2857,12513
2025-07-22,Nocturna,Provincia,9,7687,12513
2025-07-22,Nocturna,Provincia,10,7712,12513
2025-07-22,Nocturna,Provincia,11,6486,12513
2025-07-22,Nocturna,Provincia,12,0235,12513
2025-07-22,Nocturna,Provincia,13,6711,12513
2025-07-22,Nocturna,Provincia,14,7251,12513
2025-07-22,Nocturna,Provincia,15,1967,12513
2025-07-22,Nocturna,Provincia,16,7542,12513
2025-07-22,Nocturna,Provincia,17,0841,12513
2025-07-22,Nocturna,Provincia,18,1280,12513
2025-07-22,Nocturna,Provincia,19,2898,12513
2025-07-22,Nocturna,Provincia,20,2394,12513
2025-07-23,Nocturna,Provincia,1,3575,12514
2025-07-23,Nocturna,Provincia,2,9368,12514
2025-07-23,Nocturna,Provincia,3,2918,12514
2025-07-23,Nocturna,Provincia,4,6927,12514
2025-07-23,Nocturna,Provincia,5,9025,12514
2025-07-23,Nocturna,Provincia,6,3520,12514
2025-07-23,Nocturna,Provincia,7,7306,12514
2025-07-23,Nocturna,Provincia,8,9474,12514
2025-07-23,Nocturna,Provincia,9,7867,12514
2025-07-23,Nocturna,Provincia,10,8023,12514
2025-07-23,Nocturna,Provincia,11,4748,12514
2025-07-23,Nocturna,Provincia,12,4293,12514
2025-07-23,Nocturna,Provincia,13,9865,12514
2025-07-23,Nocturna,Provincia,14,4132,12514
2025-07-23,Nocturna,Provincia,15,8948,12514
2025-07-23,Nocturna,Provincia,16,9236,12514
2025-07-23,Nocturna,Provincia,17,1672,12514
2025-07-23,Nocturna,Provincia,18,0630,12514
2025-07-23,Nocturna,Provincia,19,3580,12514
2025-07-23,Nocturna,Provincia,20,9665,12514
2025-07-24,Nocturna,Provincia,1,6842,12515
2025-07-24,Nocturna,Provincia,2,4162,12515
2025-07-24,Nocturna,Provincia,3,6701,12515
2025-07-24,Nocturna,Provincia,4,9907,12515
2025-07-24,Nocturna,Provincia,5,4119,12515
2025-07-24,Nocturna,Provincia,6,3359,12515
2025-07-24,Nocturna,Provincia,7,6251,12515
2025-07-24,Nocturna,Provincia,8,9367,12515
2025-07-24,Nocturna,Provincia,9,9346,12515
2025-07-24,Nocturna,Provincia,10,0940,12515
2025-07-24,Nocturna,Provincia,11,2898,12515
2025-07-24,Nocturna,Provincia,12,8722,12515
2025-07-24,Nocturna,Provincia,13,4327,12515
2025-07-24,Nocturna,Provincia,14,0084,12515
2025-07-24,Nocturna,Provincia,15,7863,12515
2025-07-24,Nocturna,Provincia,16,0690,12515
2025-07-24,Nocturna,Provincia,17,3280,12515
2025-07-24,Nocturna,Provincia,18,6999,12515
2025-07-24,Nocturna,Provincia,19,4332,12515
2025-07-24,Nocturna,Provincia,20,9048,12515
2025-07-25,Nocturna,Provincia,1,2477,12516
2025-07-25,Nocturna,Provincia,2,2525,12516
2025-07-25,Nocturna,Provincia,3,5457,12516
2025-07-25,Nocturna,Provincia,4,6462,12516
2025-07-25,Nocturna,Provincia,5,7303,12516
2025-07-25,Nocturna,Provincia,6,0825,12516
2025-07-25,Nocturna,Provincia,7,3913,12516
2025-07-25,Nocturna,Provincia,8,9602,12516
2025-07-25,Nocturna,Provincia,9,7875,12516
2025-07-25,Nocturna,Provincia,10,5805,12516
2025-07-25,Nocturna,Provincia,11,5420,12516
2025-07-25,Nocturna,Provincia,12,2127,12516
2025-07-25,Nocturna,Provincia,13,4725,12516
2025-07-25,Nocturna,Provincia,14,3529,12516
2025-07-25,Nocturna,Provincia,15,4807,12516
2025-07-25,Nocturna,Provincia,16,1592,12516
2025-07-25,Nocturna,Provincia,17,0528,12516
2025-07-25,Nocturna,Provincia,18,6226,12516
2025-07-25,Nocturna,Provincia,19,5879,12516
2025-07-25,Nocturna,Provincia,20,3266,12516
2025-07-26,Nocturna,Provincia,1,2485,12517
2025-07-26,Nocturna,Provincia,2,1522,12517
2025-07-26,Nocturna,Provincia,3,3567,12517
2025-07-26,Nocturna,Provincia,4,4356,12517
2025-07-26,Nocturna,Provincia,5,5038,12517
2025-07-26,Nocturna,Provincia,6,1793,12517
2025-07-26,Nocturna,Provincia,7,7323,12517
2025-07-26,Nocturna,Provincia,8,5647,12517
2025-07-26,Nocturna,Provincia,9,6861,12517
2025-07-26,Nocturna,Provincia,10,5396,12517
2025-07-26,Nocturna,Provincia,11,9993,12517
2025-07-26,Nocturna,Provincia,12,7032,12517
2025-07-26,Nocturna,Provincia,13,7918,12517
2025-07-26,Nocturna,Provincia,14,6405,12517
2025-07-26,Nocturna,Provincia,15,6188,12517
2025-07-26,Nocturna,Provincia,16,0771,12517
2025-07-26,Nocturna,Provincia,17,2225,12517
2025-07-26,Nocturna,Provincia,18,8221,12517
2025-07-26,Nocturna,Provincia,19,5157,12517
2025-07-26,Nocturna,Provincia,20,4741,12517
2025-07-28,Nocturna,Provincia,1,8997,12518
2025-07-28,Nocturna,Provincia,2,4372,12518
2025-07-28,Nocturna,Provincia,3,5331,12518
2025-07-28,Nocturna,Provincia,4,9948,12518
2025-07-28,Nocturna,Provincia,5,9333,12518
2025-07-28,Nocturna,Provincia,6,3069,12518
2025-07-28,Nocturna,Provincia,7,5772,12518
2025-07-28,Nocturna,Provincia,8,9817,12518
2025-07-28,Nocturna,Provincia,9,8903,12518
2025-07-28,Nocturna,Provincia,10,9842,12518
2025-07-28,Nocturna,Provincia,11,8806,12518
2025-07-28,Nocturna,Provincia,12,2712,12518
2025-07-28,Nocturna,Provincia,13,6932,12518
2025-07-28,Nocturna,Provincia,14,2238,12518
2025-07-28,Nocturna,Provincia,15,7731,12518
2025-07-28,Nocturna,Provincia,16,2118,12518
2025-07-28,Nocturna,Provincia,17,9204,12518
2025-07-28,Nocturna,Provincia,18,8069,12518
2025-07-28,Nocturna,Provincia,19,5110,12518
2025-07-28,Nocturna,Provincia,20,4367,12518
2025-07-29,Nocturna,Provincia,1,5478,12519
2025-07-29,Nocturna,Provincia,2,2489,12519
2025-07-29,Nocturna,Provincia,3,4720,12519
2025-07-29,Nocturna,Provincia,4,8426,12519
2025-07-29,Nocturna,Provincia,5,1663,12519
2025-07-29,Nocturna,Provincia,6,7948,12519
2025-07-29,Nocturna,Provincia,7,0976,12519
2025-07-29,Nocturna,Provincia,8,3760,12519
2025-07-29,Nocturna,Provincia,9,0574,12519
2025-07-29,Nocturna,Provincia,10,9193,12519
2025-07-29,Nocturna,Provincia,11,7979,12519
2025-07-29,Nocturna,Provincia,12,2916,12519
2025-07-29,Nocturna,Provincia,13,9767,12519
2025-07-29,Nocturna,Provincia,14,2814,12519
2025-07-29,Nocturna,Provincia,15,6961,12519
2025-07-29,Nocturna,Provincia,16,3284,12519
2025-07-29,Nocturna,Provincia,17,7447,12519
2025-07-29,Nocturna,Provincia,18,0055,12519
2025-07-29,Nocturna,Provincia,19,6749,12519
2025-07-29,Nocturna,Provincia,20,7635,12519
2025-07-30,Nocturna,Provincia,1,7000,12520
2025-07-30,Nocturna,Provincia,2,0425,12520
2025-07-30,Nocturna,Provincia,3,0984,12520
2025-07-30,Nocturna,Provincia,4,9127,12520
2025-07-30,Nocturna,Provincia,5,9271,12520
2025-07-30,Nocturna,Provincia,6,1496,12520
2025-07-30,Nocturna,Provincia,7,9035,12520
2025-07-30,Nocturna,Provincia,8,2619,12520
2025-07-30,Nocturna,Provincia,9,3217,12520
2025-07-30,Nocturna,Provincia,10,9780,12520
2025-07-30,Nocturna,Provincia,11,6136,12520
2025-07-30,Nocturna,Provincia,12,6437,12520
2025-07-30,Nocturna,Provincia,13,1001,12520
2025-07-30,Nocturna,Provincia,14,0309,12520
2025-07-30,Nocturna,Provincia,15,5636,12520
2025-07-30,Nocturna,Provincia,16,7205,12520
2025-07-30,Nocturna,Provincia,17,5064,12520
2025-07-30,Nocturna,Provincia,18,0998,12520
2025-07-30,Nocturna,Provincia,19,2210,12520
2025-07-30,Nocturna,Provincia,20,9767,12520
2025-07-31,Nocturna,Provincia,1,9983,12521
2025-07-31,Nocturna,Provincia,2,3737,12521
2025-07-31,Nocturna,Provincia,3,4757,12521
2025-07-31,Nocturna,Provincia,4,6761,12521
2025-07-31,Nocturna,Provincia,5,8719,12521
2025-07-31,Nocturna,Provincia,6,8791,12521
2025-07-31,Nocturna,Provincia,7,1461,12521
2025-07-31,Nocturna,Provincia,8,9913,12521
2025-07-31,Nocturna,Provincia,9,8332,12521
2025-07-31,Nocturna,Provincia,10,4662,12521
2025-07-31,Nocturna,Provincia,11,6474,12521
2025-07-31,Nocturna,Provincia,12,9370,12521
2025-07-31,Nocturna,Provincia,13,6501,12521
2025-07-31,Nocturna,Provincia,14,8580,12521
2025-07-31,Nocturna,Provincia,15,8101,12521
2025-07-31,Nocturna,Provincia,16,2198,12521
2025-07-31,Nocturna,Provincia,17,8713,12521
2025-07-31,Nocturna,Provincia,18,7225,12521
2025-07-31,Nocturna,Provincia,19,8731,12521
2025-07-31,Nocturna,Provincia,20,1343,12521
2025-08-01,Nocturna,Provincia,1,1150,12522
2025-08-01,Nocturna,Provincia,2,2890,12522
2025-08-01,Nocturna,Provincia,3,2459,12522
2025-08-01,Nocturna,Provincia,4,6230,12522
2025-08-01,Nocturna,Provincia,5,2154,12522
2025-08-01,Nocturna,Provincia,6,3274,12522
2025-08-01,Nocturna,Provincia,7,0752,12522
2025-08-01,Nocturna,Provincia,8,2289,12522
2025-08-01,Nocturna,Provincia,9,0289,12522
2025-08-01,Nocturna,Provincia,10,4127,12522
2025-08-01,Nocturna,Provincia,11,8228,12522
2025-08-01,Nocturna,Provincia,12,3480,12522
